ibsym,Desc,filename,c2sym,multiplier,CSIsym2,CSIsym,triggertime,margin,reqId,contractMonth,liquidHours,longName,minTick,tradingHours,timeZoneId,underConId,evRule,evMultiplier,expiry,exchange,secType,currency,contracts,Date,timestamp
ZF,T-Note-U.S. 5 Yr-CBT(Floor+Electronic Combined),FV_1410R.TXT,@FV,1000,FV,FV,30,850,1729.0,201803,20171202:CLOSED;20171203:CLOSED;20171204:0830-1600;20171205:0830-1600;20171206:0830-1600;20171207:0830-1600;20171208:0830-1600;20171209:CLOSED;20171210:CLOSED;20171211:0830-1600;20171212:0830-1600;20171213:0830-1600;20171214:0830-1600;20171215:0830-1600;20171216:CLOSED;20171217:CLOSED;20171218:0830-1600;20171219:0830-1600;20171220:0830-1600;20171221:0830-1600;20171222:0830-1600;20171223:CLOSED;20171224:CLOSED;20171225:0830-1600;20171226:0830-1600;20171227:0830-1600;20171228:0830-1600;20171229:0830-1600;20171230:CLOSED;20171231:CLOSED;20180101:0830-1600;20180102:0830-1600;20180103:0830-1600;20180104:0830-1600;20180105:0830-1600,5 Year US Treasury Note,0.0078125,20171202:CLOSED;20171203:CLOSED;20171204:1700-1600;20171205:1700-1600;20171206:1700-1600;20171207:1700-1600;20171208:1700-1600;20171209:CLOSED;20171210:CLOSED;20171211:1700-1600;20171212:1700-1600;20171213:1700-1600;20171214:1700-1600;20171215:1700-1600;20171216:CLOSED;20171217:CLOSED;20171218:1700-1600;20171219:1700-1600;20171220:1700-1600;20171221:1700-1600;20171222:1700-1600;20171223:CLOSED;20171224:CLOSED;20171225:1700-1600;20171226:1700-1600;20171227:1700-1600;20171228:1700-1600;20171229:1700-1600;20171230:CLOSED;20171231:CLOSED;20180101:1700-1600;20180102:1700-1600;20180103:1700-1600;20180104:1700-1600;20180105:1700-1600,CST,11078387.0,,0.0,20180329,ECBOT,FUT,USD,ZF20180329,20171201,1512201608
GC,Gold-COMEX(Floor+Electronic Combined),GC20_I0R.TXT,QGC,100,GC2,GC,30,5400,1729.0,201802,20171202:CLOSED;20171203:CLOSED;20171204:0930-1700;20171205:0930-1700;20171206:0930-1700;20171207:0930-1700;20171208:0930-1700;20171209:CLOSED;20171210:CLOSED;20171211:0930-1700;20171212:0930-1700;20171213:0930-1700;20171214:0930-1700;20171215:0930-1700;20171216:CLOSED;20171217:CLOSED;20171218:0930-1700;20171219:0930-1700;20171220:0930-1700;20171221:0930-1700;20171222:0930-1700;20171223:CLOSED;20171224:CLOSED;20171225:0930-1700;20171226:0930-1700;20171227:0930-1700;20171228:0930-1700;20171229:0930-1700;20171230:CLOSED;20171231:CLOSED;20180101:0930-1700;20180102:0930-1700;20180103:0930-1700;20180104:0930-1700;20180105:0930-1700,Gold,0.1,20171202:CLOSED;20171203:CLOSED;20171204:1800-1700;20171205:1800-1700;20171206:1800-1700;20171207:1800-1700;20171208:1800-1700;20171209:CLOSED;20171210:CLOSED;20171211:1800-1700;20171212:1800-1700;20171213:1800-1700;20171214:1800-1700;20171215:1800-1700;20171216:CLOSED;20171217:CLOSED;20171218:1800-1700;20171219:1800-1700;20171220:1800-1700;20171221:1800-1700;20171222:1800-1700;20171223:CLOSED;20171224:CLOSED;20171225:1800-1700;20171226:1800-1700;20171227:1800-1700;20171228:1800-1700;20171229:1800-1700;20171230:CLOSED;20171231:CLOSED;20180101:1800-1700;20180102:1800-1700;20180103:1800-1700;20180104:1800-1700;20180105:1800-1700,EST5EDT,17340718.0,,0.0,20180226,NYMEX,FUT,USD,GC20180226,20171201,1512201608
HG,CopperHG-COMEX(Floor+Electronic Combined),HG20_I0R.TXT,QHG,25000,HG2,HG,30,3100,1729.0,201803,20171202:CLOSED;20171203:CLOSED;20171204:0930-1700;20171205:0930-1700;20171206:0930-1700;20171207:0930-1700;20171208:0930-1700;20171209:CLOSED;20171210:CLOSED;20171211:0930-1700;20171212:0930-1700;20171213:0930-1700;20171214:0930-1700;20171215:0930-1700;20171216:CLOSED;20171217:CLOSED;20171218:0930-1700;20171219:0930-1700;20171220:0930-1700;20171221:0930-1700;20171222:0930-1700;20171223:CLOSED;20171224:CLOSED;20171225:0930-1700;20171226:0930-1700;20171227:0930-1700;20171228:0930-1700;20171229:0930-1700;20171230:CLOSED;20171231:CLOSED;20180101:0930-1700;20180102:0930-1700;20180103:0930-1700;20180104:0930-1700;20180105:0930-1700,NYMEX Copper Index,0.0005,20171202:CLOSED;20171203:CLOSED;20171204:1800-1700;20171205:1800-1700;20171206:1800-1700;20171207:1800-1700;20171208:1800-1700;20171209:CLOSED;20171210:CLOSED;20171211:1800-1700;20171212:1800-1700;20171213:1800-1700;20171214:1800-1700;20171215:1800-1700;20171216:CLOSED;20171217:CLOSED;20171218:1800-1700;20171219:1800-1700;20171220:1800-1700;20171221:1800-1700;20171222:1800-1700;20171223:CLOSED;20171224:CLOSED;20171225:1800-1700;20171226:1800-1700;20171227:1800-1700;20171228:1800-1700;20171229:1800-1700;20171230:CLOSED;20171231:CLOSED;20180101:1800-1700;20180102:1800-1700;20180103:1800-1700;20180104:1800-1700;20180105:1800-1700,EST5EDT,36557087.0,,0.0,20180327,NYMEX,FUT,USD,HG20180327,20171201,1512201608
HO,Heating Oil #2-NYMEX(Floor+Electronic Combined),HO20_I0R.TXT,QHO,42000,HO2,HO,30,4150,1729.0,201801,20171202:CLOSED;20171203:CLOSED;20171204:0930-1700;20171205:0930-1700;20171206:0930-1700;20171207:0930-1700;20171208:0930-1700;20171209:CLOSED;20171210:CLOSED;20171211:0930-1700;20171212:0930-1700;20171213:0930-1700;20171214:0930-1700;20171215:0930-1700;20171216:CLOSED;20171217:CLOSED;20171218:0930-1700;20171219:0930-1700;20171220:0930-1700;20171221:0930-1700;20171222:0930-1700;20171223:CLOSED;20171224:CLOSED;20171225:0930-1700;20171226:0930-1700;20171227:0930-1700;20171228:0930-1700;20171229:0930-1700;20171230:CLOSED;20171231:CLOSED,Heating Oil,0.0001,20171202:CLOSED;20171203:CLOSED;20171204:1800-1700;20171205:1800-1700;20171206:1800-1700;20171207:1800-1700;20171208:1800-1700;20171209:CLOSED;20171210:CLOSED;20171211:1800-1700;20171212:1800-1700;20171213:1800-1700;20171214:1800-1700;20171215:1800-1700;20171216:CLOSED;20171217:CLOSED;20171218:1800-1700;20171219:1800-1700;20171220:1800-1700;20171221:1800-1700;20171222:1800-1700;20171223:CLOSED;20171224:CLOSED;20171225:1800-1700;20171226:1800-1700;20171227:1800-1700;20171228:1800-1700;20171229:1800-1700;20171230:CLOSED;20171231:CLOSED,EST5EDT,36552987.0,,0.0,20171229,NYMEX,FUT,USD,HO20171229,20171201,1512201608
JPY,Japanese Yen-CME(Floor+Electronic Combined),JY_0_I0R.TXT,@JY,12500000,JY,JY,30,4000,1729.0,201712,20171202:CLOSED;20171203:CLOSED;20171204:0830-1600;20171205:0830-1600;20171206:0830-1600;20171207:0830-1600;20171208:0830-1600;20171209:CLOSED;20171210:CLOSED;20171211:0830-1600;20171212:0830-1600;20171213:0830-1600;20171214:0830-1600;20171215:0830-1600;20171216:CLOSED;20171217:CLOSED;20171218:0830-0916,JPY.USD Forex,5e-07,20171202:CLOSED;20171203:CLOSED;20171204:1700-1600;20171205:1700-1600;20171206:1700-1600;20171207:1700-1600;20171208:1700-1600;20171209:CLOSED;20171210:CLOSED;20171211:1700-1600;20171212:1700-1600;20171213:1700-1600;20171214:1700-1600;20171215:1700-1600;20171216:CLOSED;20171217:CLOSED;20171218:1700-0916,CST,15016105.0,,0.0,20171218,GLOBEX,FUT,USD,JPY20171218,20171201,1512201608
LE,Cattle-Live(Floor+Electronic Combined)-CME,LC_0_I0R.TXT,@LE,40000,LC,LC,10,1550,1729.0,201802,20171202:CLOSED;20171203:CLOSED;20171204:0830-1305;20171205:0830-1305;20171206:0830-1305;20171207:0830-1305;20171208:0830-1305;20171209:CLOSED;20171210:CLOSED;20171211:0830-1305;20171212:0830-1305;20171213:0830-1305;20171214:0830-1305;20171215:0830-1305;20171216:CLOSED;20171217:CLOSED;20171218:0830-1305;20171219:0830-1305;20171220:0830-1305;20171221:0830-1305;20171222:0830-1305;20171223:CLOSED;20171224:CLOSED;20171225:0830-1305;20171226:0830-1305;20171227:0830-1305;20171228:0830-1305;20171229:0830-1305;20171230:CLOSED;20171231:CLOSED;20180101:0830-1305;20180102:0830-1305;20180103:0830-1305;20180104:0830-1305;20180105:0830-1305,Live Cattle,0.00025,20171202:CLOSED;20171203:CLOSED;20171204:0830-1305;20171205:0830-1305;20171206:0830-1305;20171207:0830-1305;20171208:0830-1305;20171209:CLOSED;20171210:CLOSED;20171211:0830-1305;20171212:0830-1305;20171213:0830-1305;20171214:0830-1305;20171215:0830-1305;20171216:CLOSED;20171217:CLOSED;20171218:0830-1305;20171219:0830-1305;20171220:0830-1305;20171221:0830-1305;20171222:0830-1305;20171223:CLOSED;20171224:CLOSED;20171225:0830-1305;20171226:0830-1305;20171227:0830-1305;20171228:0830-1305;20171229:0830-1305;20171230:CLOSED;20171231:CLOSED;20180101:0830-1305;20180102:0830-1305;20180103:0830-1305;20180104:0830-1305;20180105:0830-1305,CST,33221066.0,,0.0,20180228,GLOBEX,FUT,USD,LE20180228,20171201,1512201608
HE,Hogs-Lean(Floor+Electronic Combined)-CME,LH_0_I0R.TXT,@HE,40000,LH,LH,10,1200,1729.0,201802,20171202:CLOSED;20171203:CLOSED;20171204:0830-1305;20171205:0830-1305;20171206:0830-1305;20171207:0830-1305;20171208:0830-1305;20171209:CLOSED;20171210:CLOSED;20171211:0830-1305;20171212:0830-1305;20171213:0830-1305;20171214:0830-1305;20171215:0830-1305;20171216:CLOSED;20171217:CLOSED;20171218:0830-1305;20171219:0830-1305;20171220:0830-1305;20171221:0830-1305;20171222:0830-1305;20171223:CLOSED;20171224:CLOSED;20171225:0830-1305;20171226:0830-1305;20171227:0830-1305;20171228:0830-1305;20171229:0830-1305;20171230:CLOSED;20171231:CLOSED;20180101:0830-1305;20180102:0830-1305;20180103:0830-1305;20180104:0830-1305;20180105:0830-1305,Lean Hogs,0.00025,20171202:CLOSED;20171203:CLOSED;20171204:0830-1305;20171205:0830-1305;20171206:0830-1305;20171207:0830-1305;20171208:0830-1305;20171209:CLOSED;20171210:CLOSED;20171211:0830-1305;20171212:0830-1305;20171213:0830-1305;20171214:0830-1305;20171215:0830-1305;20171216:CLOSED;20171217:CLOSED;20171218:0830-1305;20171219:0830-1305;20171220:0830-1305;20171221:0830-1305;20171222:0830-1305;20171223:CLOSED;20171224:CLOSED;20171225:0830-1305;20171226:0830-1305;20171227:0830-1305;20171228:0830-1305;20171229:0830-1305;20171230:CLOSED;20171231:CLOSED;20180101:0830-1305;20180102:0830-1305;20180103:0830-1305;20180104:0830-1305;20180105:0830-1305,CST,32612382.0,,0.0,20180214,GLOBEX,FUT,USD,HE20180214,20171201,1512201608
MXP,Mexican Peso(Floor+Electronic Combined)-CME,MP_0_I0R.TXT,@PX,500000,MP,MP,30,1750,1729.0,201712,20171202:CLOSED;20171203:CLOSED;20171204:0830-1600;20171205:0830-1600;20171206:0830-1600;20171207:0830-1600;20171208:0830-1600;20171209:CLOSED;20171210:CLOSED;20171211:0830-1600;20171212:0830-1600;20171213:0830-1600;20171214:0830-1600;20171215:0830-1600;20171216:CLOSED;20171217:CLOSED;20171218:0830-0916,MXP.USD Forex,1e-05,20171202:CLOSED;20171203:CLOSED;20171204:1700-1600;20171205:1700-1600;20171206:1700-1600;20171207:1700-1600;20171208:1700-1600;20171209:CLOSED;20171210:CLOSED;20171211:1700-1600;20171212:1700-1600;20171213:1700-1600;20171214:1700-1600;20171215:1700-1600;20171216:CLOSED;20171217:CLOSED;20171218:1700-0916,CST,35045201.0,,0.0,20171218,GLOBEX,FUT,USD,MXP20171218,20171201,1512201608
NZD,New Zealand Dollar-CME(Floor+Electronic Combined),NE_0_I0R.TXT,@NE,100000,NE,NE,30,1400,1729.0,201712,20171202:CLOSED;20171203:CLOSED;20171204:0830-1600;20171205:0830-1600;20171206:0830-1600;20171207:0830-1600;20171208:0830-1600;20171209:CLOSED;20171210:CLOSED;20171211:0830-1600;20171212:0830-1600;20171213:0830-1600;20171214:0830-1600;20171215:0830-1600;20171216:CLOSED;20171217:CLOSED;20171218:0830-0916,New Zealand dollar,0.0001,20171202:CLOSED;20171203:CLOSED;20171204:1700-1600;20171205:1700-1600;20171206:1700-1600;20171207:1700-1600;20171208:1700-1600;20171209:CLOSED;20171210:CLOSED;20171211:1700-1600;20171212:1700-1600;20171213:1700-1600;20171214:1700-1600;20171215:1700-1600;20171216:CLOSED;20171217:CLOSED;20171218:1700-0916,CST,39453441.0,,0.0,20171218,GLOBEX,FUT,USD,NZD20171218,20171201,1512201608
NG,Natural Gas-Henry Hub-NYMEX(Floor+Electronic Combined),NG20_I0R.TXT,QNG,10000,NG2,NG,30,3100,1729.0,201801,20171202:CLOSED;20171203:CLOSED;20171204:0930-1700;20171205:0930-1700;20171206:0930-1700;20171207:0930-1700;20171208:0930-1700;20171209:CLOSED;20171210:CLOSED;20171211:0930-1700;20171212:0930-1700;20171213:0930-1700;20171214:0930-1700;20171215:0930-1700;20171216:CLOSED;20171217:CLOSED;20171218:0930-1700;20171219:0930-1700;20171220:0930-1700;20171221:0930-1700;20171222:0930-1700;20171223:CLOSED;20171224:CLOSED;20171225:0930-1700;20171226:0930-1700;20171227:0930-1700,Henry Hub Natural Gas,0.001,20171202:CLOSED;20171203:CLOSED;20171204:1800-1700;20171205:1800-1700;20171206:1800-1700;20171207:1800-1700;20171208:1800-1700;20171209:CLOSED;20171210:CLOSED;20171211:1800-1700;20171212:1800-1700;20171213:1800-1700;20171214:1800-1700;20171215:1800-1700;20171216:CLOSED;20171217:CLOSED;20171218:1800-1700;20171219:1800-1700;20171220:1800-1700;20171221:1800-1700;20171222:1800-1700;20171223:CLOSED;20171224:CLOSED;20171225:1800-1700;20171226:1800-1700;20171227:1800-1700,EST5EDT,36552980.0,,0.0,20171227,NYMEX,FUT,USD,NG20171227,20171201,1512201608
NIY,Nikkei 225 Index-Yen(Floor+Electronic Combined)-CME,NIY0_I0R.TXT,@NKD,500,NIY,NIY,30,4400,1729.0,201712,20171202:CLOSED;20171203:CLOSED;20171204:0830-1600;20171205:0830-1600;20171206:0830-1600;20171207:0830-1600,Yen Denominated Nikkei 225 Index,5.0,20171202:CLOSED;20171203:CLOSED;20171204:1700-1600;20171205:1700-1600;20171206:1700-1600;20171207:1700-1600,CST,28001490.0,,0.0,20171207,GLOBEX,FUT,JPY,NIY20171207,20171201,1512201608
