2017-11-01 00:00:00,Contract,LastClose,ATR20,LastPctChg,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,prevSEA,prevSRUN,prevvSTART,usdATR,QTY,QTY_MINI,QTY_MICRO,contractValue,FX,PC2017-11-01 00:00:00,Close2017-11-01 00:00:00,group,RiskOn,Custom,vSTART,LastSEA,SEA2017-11-01 00:00:00,LastSRUN,SRUN2017-11-01 00:00:00,prevACT,LastSIG,LastSAFEf,finalQTY,SIG2017-10-31 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2017-10-31 00:00:00,0.5SIG2017-10-30 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2017-10-31 00:00:00,0.75SIG2017-10-30 00:00:00,1LastSAFEf,1finalQTY,1SIG2017-10-31 00:00:00,1SIG2017-10-30 00:00:00,None,RiskOff,AntiCustom,Anti1LastSIG,Anti0.75LastSIG,Anti0.5LastSIG,AntiSEA,AntiPrevACT,AdjSEA,AntiAdjSEA,Voting,Voting2,Voting3,Voting7,Voting8,Voting9,Voting10,Voting11,Voting12,Voting13,Voting14,Voting15,Voting4,Voting5,Voting6,chgValue,PNL_ACT,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff,PNL_Custom,PNL_AntiCustom,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_Anti1LastSIG,PNL_Anti0.75LastSIG,PNL_Anti0.5LastSIG,PNL_prevSEA,PNL_LastSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_AntiAdjSEA,PNL_Voting,PNL_Voting2,PNL_Voting3,PNL_Voting4,PNL_Voting5,PNL_Voting6,PNL_Voting7,PNL_Voting8,PNL_Voting9,PNL_Voting10,PNL_Voting11,PNL_Voting12,PNL_Voting13,PNL_Voting14,PNL_Voting15,Date,timestamp
CT,@CTZ7,68.17,1.0835,-0.00307107341328,-1.0,1.0,-1.0,1.0,1.0,7.0,2017-10-20,541.75,1.0,1.0,1.0,34085.0,1.0,-0.00307107341328,68.17,soft,1.0,1.0,2017-10-20,1.0,1.0,8.0,8.0,-1.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,,2.0,0.0,1.0,,2.0,0.0,1.0,,0,-1,-1,-1,-1,1,-1,1,1,-1,-1,1,-1,-1,1,1.0,0.0,0.0,1.0,0.0,0.0,-1,0,-1.0,-1,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,20171101,1509582052
CU,@EUZ7,1.1647,0.006865,-0.00291070969951,-1.0,-1.0,1.0,-1.0,-1.0,-14.0,2017-10-11,858.125,1.0,1.0,1.0,145587.5,1.0,-0.00291070969951,1.1647,currency,1.0,1.0,2017-10-11,-1.0,-1.0,-15.0,-15.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,1.0,-1.0,,2.0,1.0,-1.0,,0,-1,-1,1,1,-1,1,-1,-1,1,1,-1,1,1,1,1.0,1.0,1.0,-1.0,1.0,1.0,1,1,1.0,1,-423.762948378,423.762948378,-423.762948378,423.762948378,-423.762948378,423.762948378,-423.762948378,423.762948378,-423.762948378,423.762948378,-423.762948378,423.762948378,-423.762948378,-423.762948378,423.762948378,423.762948378,423.762948378,-423.762948378,423.762948378,-423.762948378,-423.762948378,423.762948378,-423.762948378,-423.762948378,-423.762948378,-423.762948378,-423.762948378,-423.762948378,-423.762948378,-423.762948378,-423.762948378,423.762948378,-423.762948378,-423.762948378,-423.762948378,20171101,1509582052
DX,@DXZ7,94.709,0.4548,0.00296519077826,1.0,1.0,-1.0,1.0,1.0,14.0,2017-10-11,454.8,2.0,1.0,1.0,94709.0,1.0,0.00296519077826,94.709,currency,-1.0,-1.0,2017-10-11,1.0,1.0,15.0,15.0,-1.0,-1.0,1.0,0.0,-1.0,2.0,0.0,-1.0,,1.0,0.0,1.0,,1.0,0.0,1.0,,0,1,1,-1,-1,1,-1,1,1,-1,-1,1,-1,-1,-1,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1,-1,-1.0,-1,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,20171101,1509582052
EBL,BDZ7,162.63,0.559,-0.00073732718894,-1.0,-1.0,-1.0,1.0,1.0,4.0,2017-10-25,649.558,1.0,1.0,1.0,188976.06,0.860585197935,-0.00073732718894,162.63,rates,-1.0,1.0,2017-10-25,1.0,1.0,5.0,5.0,1.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,,1.0,0.0,-1.0,,2.0,0.0,1.0,,0,1,-1,-1,1,1,-1,-1,-1,1,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1,-1,-1.0,0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,20171101,1509582052
EBM,BLZ7,131.76,0.207,-0.000151768098346,-1.0,-1.0,1.0,-1.0,1.0,4.0,2017-10-25,240.534,4.0,1.0,1.0,153105.12,0.860585197935,-0.000151768098346,131.76,rates,-1.0,1.0,2017-10-25,-1.0,-1.0,5.0,5.0,-1.0,-1.0,1.0,0.0,-1.0,1.0,0.0,1.0,,2.0,0.0,-1.0,,2.0,0.0,-1.0,,0,1,-1,1,1,-1,-1,1,1,-1,1,1,1,-1,1,-1.0,0.0,0.0,1.0,-1.0,0.0,1,1,1.0,1,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,20171101,1509582052
EBS,EZZ7,112.27,0.043,4.4537478288e-05,1.0,1.0,-1.0,1.0,1.0,11.0,2017-10-16,49.966,20.0,5.0,5.0,130457.74,0.860585197935,4.4537478288e-05,112.27,rates,-1.0,1.0,2017-10-16,1.0,1.0,12.0,12.0,-1.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,,1.0,0.0,1.0,,1.0,0.0,1.0,,0,1,-1,-1,-1,1,-1,1,1,-1,-1,1,-1,-1,-1,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1,-1,-1.0,-1,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,20171101,1509582052
ED,@EDZ7,98.485,0.0125,-5.07665752868e-05,-1.0,-1.0,-1.0,-1.0,-1.0,30.0,2017-09-19,31.25,31.0,7.0,7.0,246212.5,1.0,-5.07665752868e-05,98.485,rates,-1.0,1.0,2017-09-19,-1.0,-1.0,31.0,31.0,1.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,,1.0,0.0,-1.0,,1.0,0.0,-1.0,,0,1,-1,1,1,1,1,-1,-1,1,1,-1,1,-1,-1,-1.0,-1.0,0.0,-1.0,0.0,0.0,1,0,1.0,1,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,20171101,1509582052
EMD,@EMDZ7,1829.0,12.09,-0.00267190141229,-1.0,1.0,1.0,1.0,1.0,13.0,2017-10-12,1209.0,1.0,1.0,1.0,182900.0,1.0,-0.00267190141229,1829.0,index,1.0,1.0,2017-10-12,1.0,1.0,14.0,14.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,1.0,1.0,,2.0,1.0,1.0,,0,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,-1,1,1,-1.0,0.0,-1.0,1.0,1.0,1.0,-1,1,1.0,0,-488.690768308,488.690768308,-488.690768308,488.690768308,-488.690768308,488.690768308,-488.690768308,488.690768308,-488.690768308,-488.690768308,-488.690768308,-488.690768308,488.690768308,488.690768308,488.690768308,-488.690768308,-488.690768308,488.690768308,-488.690768308,488.690768308,-488.690768308,-488.690768308,488.690768308,-488.690768308,-488.690768308,-0.0,-488.690768308,-488.690768308,488.690768308,-0.0,488.690768308,-488.690768308,-488.690768308,-488.690768308,488.690768308,20171101,1509582052
ES,@ESZ7,2574.75,11.3,0.000777378291711,1.0,1.0,1.0,1.0,1.0,12.0,2017-10-13,565.0,1.0,1.0,1.0,128737.5,1.0,0.000777378291711,2574.75,index,1.0,1.0,2017-10-13,1.0,1.0,13.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,0,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,-1,1,1,-1.0,0.0,-1.0,1.0,1.0,1.0,-1,1,1.0,0,100.077737829,100.077737829,100.077737829,-100.077737829,100.077737829,-100.077737829,100.077737829,-100.077737829,100.077737829,100.077737829,100.077737829,100.077737829,-100.077737829,-100.077737829,-100.077737829,100.077737829,100.077737829,-100.077737829,100.077737829,-100.077737829,100.077737829,100.077737829,-100.077737829,100.077737829,100.077737829,0.0,100.077737829,100.077737829,-100.077737829,0.0,-100.077737829,100.077737829,100.077737829,100.077737829,-100.077737829,20171101,1509582052
FC,@GFF8,160.65,2.227365508,0.00673664421119,1.0,1.0,-1.0,1.0,-1.0,-21.0,2017-10-02,1113.682754,1.0,1.0,1.0,80325.0,1.0,0.00673664421119,160.65,meat,1.0,-1.0,2017-10-02,1.0,1.0,-22.0,-22.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,,2.0,1.0,1.0,,2.0,1.0,1.0,,0,-1,1,-1,-1,1,1,-1,-1,1,-1,-1,-1,1,-1,1.0,0.0,0.0,-1.0,1.0,0.0,-1,-1,-1.0,-1,541.120946264,541.120946264,541.120946264,-541.120946264,541.120946264,-541.120946264,-541.120946264,541.120946264,541.120946264,541.120946264,-541.120946264,541.120946264,-541.120946264,-541.120946264,541.120946264,-541.120946264,541.120946264,541.120946264,-541.120946264,541.120946264,-541.120946264,-541.120946264,-541.120946264,-541.120946264,-541.120946264,-541.120946264,541.120946264,-541.120946264,541.120946264,0.0,0.0,-541.120946264,541.120946264,0.0,-541.120946264,20171101,1509582052
FCH,MTZ7,5505.0,34.705180936,0.001911001911,1.0,1.0,-1.0,1.0,1.0,27.0,2017-09-22,403.274202476,2.0,1.0,1.0,63968.1,0.860585197935,0.001911001911,5505.0,index,1.0,1.0,2017-09-22,1.0,1.0,28.0,28.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,,2.0,0.0,1.0,,2.0,0.0,1.0,,0,-1,-1,-1,-1,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1,-1,0.0,-1,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,20171101,1509582052
FDX,DXMZ7,13475.0,93.775,0.0191347753744,1.0,1.0,1.0,1.0,1.0,24.0,2017-09-25,544.83275,1.0,1.0,1.0,78289.75,0.860585197935,0.0191347753744,13475.0,index,1.0,1.0,2017-09-25,1.0,1.0,25.0,25.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,,1.0,2.0,0.0,,1.0,2.0,0.0,,1.0,0,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,-1,1,1,-1.0,0.0,-1.0,1.0,1.0,1.0,-1,1,1.0,0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,20171101,1509582052
FEI,IEM8,100.315,0.0072494405,0.0,1.0,1.0,1.0,1.0,-1.0,-27.0,2017-09-22,21.0596246525,47.0,11.0,11.0,291415.075,0.860585197935,0.0,100.315,rates,-1.0,1.0,2017-09-22,-1.0,-1.0,-28.0,-28.0,1.0,-1.0,1.0,0.0,-1.0,1.0,0.0,1.0,,1.0,0.0,1.0,,1.0,0.0,1.0,,0,1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,1,-1,-1.0,0.0,-1.0,-1.0,1.0,-1.0,1,-1,-1.0,-1,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,20171101,1509582052
FFI,LFZ7,7459.5,44.4,-0.00107130900569,-1.0,1.0,1.0,1.0,1.0,-3.0,2017-10-12,588.1224,1.0,1.0,1.0,98808.537,0.754944889023,-0.00107130900569,7459.5,index,1.0,1.0,2017-10-26,1.0,1.0,-4.0,-4.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,,1.0,0.0,1.0,,2.0,0.0,1.0,,0,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,-1,1,1,-1.0,0.0,-1.0,1.0,1.0,1.0,-1,1,1.0,0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,20171101,1509582052
FLG,LGZ7,124.18,0.55,-0.0012064666613,-1.0,-1.0,1.0,-1.0,1.0,-8.0,2017-10-19,728.53,1.0,1.0,1.0,164488.828,0.754944889023,-0.0012064666613,124.18,rates,-1.0,1.0,2017-10-19,1.0,1.0,-9.0,-9.0,-1.0,-1.0,1.0,0.0,-1.0,1.0,0.0,1.0,,2.0,0.0,-1.0,,2.0,0.0,-1.0,,0,1,-1,1,1,-1,-1,1,1,-1,1,1,1,-1,1,-1.0,0.0,0.0,1.0,-1.0,0.0,1,1,1.0,1,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,20171101,1509582052
